1,800 1800
3.89 3,89
frl rsf
ejbs ejb
frp pib pibs prf
unstick un-stick
deliberately intentionally
allelic allele
baktika paktika
conifers coniferous conifer
davo davus
stepdad stepfather father-in-law
8.11.2007 27.9.2007
atamna grioua
participatory participative
majid majed
canoeing canoe
0.075 0,075
verger orchard
0.070 0,070
conditioner conditioning
13.16 13,16
13.17 13,17
13.10 13,10
13.12 13,12
13.13 13,13
dunkirk dunkerque
csbfa csbfp
half-sister stepsister
issam essam
bioresources bio-resources
csbfp csbfa
boiler chaudière boilers
supper dinner
radionuclides radionuclide
denaturing denaturation
plaque plate
dtap tdap
zohair zuhair
tree-ring dendrochronological
dheanamh dhéanamh
hac cdt
hav vha
mont-mégantic mount-mégantic
osman othman uthman
dagan daghan
elders seniors
lros lro
12:30 12.30
9.600 9,600
imonovi simonovi simonovic
www.acoa.ca www.acoa.gc.ca
attorney prosecutor
14,07 14.07
14,00 14.00
8030 8,030
begin start
proportionally proportionately
crows ravens
54.8 54,8
inhuman inhumane
mong-joon mong-jun
scaa.usask.ca archives.cbc.ca
rooker brooker
abqiq abqaiq
12,700 12700
1991-99 1991-1999
2.1.2.4 2.1.2.4.
1991-92 1991-1992
54.3 54,3
2.1.2.2 2.1.2.2.
2.1.2.3 2.1.2.3.
morteza mortada murtada
anomalous abnormal
mbo moa
mbf vlf mtpf
mba m.b.a.
haboush habbush
2,522 2522
fabric tissue
coordinators co-ordinators
altitude elevation
qadissiya qadisiyah
thesaurus thesauri
verde green
www.company.com www.fabrikam.com
1973-76 1973-1976
1973-75 1973-1975
1973-74 1973-1974
refillable rechargeable
passenger passengers
disgrace shame
candle bougie
1995-99 1995-1999
sahour sahur
1995-97 1995-1997
1995-96 1995-1996 1995/96
cambodia cambodian
rola rula
mount-mégantic mont-mégantic
pan-african pan-africa
intent intention
variable variables
hawker hawkers
explosions blasts bombings
eilat elat
5/30/01 5/31/01
leucocytes leukocytes
omran imran umran
5.17 5,17
chaim haim
chain string
osh ohs
aleman alemán
osb tso
osd dsb
osg gso gsos
 
adventist adventists
100,0 100.0
100,2 100.2
windshields windscreens windscreen
100,4 100.4
3,151 3151
3,155 3,178
biopharmaceuticals biopharmaceutical
intragenerational intra-generational
lt.-gen. lgen
275,00 275.00
exact accurate
catalonia cataluña
whänau whanau
1.490 1,490
batsmen batsman
scen senc
26.000 26,000
jumblatt junbulat junblatt jonblat
dfo-mpo.gc.ca. dfo-mpo.gc.ca
headset headphone headphones
hénault henault
corazon corazón
5,200 5.200 5200
antwerp antwerpen
abdullah abdallah
locket medallion
94,7 94.7
ufc cfu
honour honor
2004/12/01 2005-01-01
frac-out fracturing
annales annals
chillers coolers
fryslân frise
queue cola
timbuktu tombouctou
n.m.r. p.m.r.
2.4.5. 2.4.5
type- fitted-
replanning replan
nondisruptively non-disruptively
4q fourth-quarter
2.2.1.3. 2.2.1.3
5.1.1.1. 5.1.1.1
13,0 13.0
13,3 13.3
13,4 13.4
13,5 13.5
overseas-funded foreign-funded
13,7 13.7
13,8 13.8
13,9 13.9
working work
16/03/2007 2007/03/16
tundra barren-ground
sélim selim
t.o.s. p.e.
nitrated nitro
gregoire grégoire
34,50 34.50
originally initially
schopp-schilling schöpp-schilling
ebeid ubaid obeid
chi-kin zhijian
corazón corazon
gillnets gillnet
5.2.4. 5.2.4
al-aqaba aqaba
51.2 51,2
bibliographical bibliographic
sub-interfaces subinterfaces
3,634 3634
neuchätel neuchâtel
fretwell lecerf
epidemiologic epidemiological
falluja fallujah
reassessment re-evaluation
sulfonamides sulfas sulphonamides
sub-criteria subcriteria
3,989 3989
26061 26.061
puller remover
3,980 3980
mango mangue
sub-clinical subclinical
yearp yarp
below. bellow.
30.00 30,00
khuzestan khouzstan
1955-56 1955-1956
380-44 380-62
'abbé abbé abbot
30.05 30,05
37,00 37.00
ovale oval
kuchis kuchi
mujadadi mojaddedi
recipients beneficiaries
civilian civil civilians
chakib shakib
sorter classifier
c.h.r.t. c.h.r.d.
bpdus bpdu
24.8 24,8
24.9 24,9
24.4 24,4
24.5 24,5
24.6 24,6
24.7 24,7
105.00 105,00
24.1 24,1
115,62 115.62
micro-alga micro-algae
frangieh franjiyyah
padmé padme
prisma prism
112006 11-2006
sponsor proponent
disasters disaster catastrophes
3.3301 963-3301
4.4.2.2. 4.4.2.2
assessors evaluators
al-qassem al-qasem al-qasim
foca.on.ca interlog.com
21.71 21,71
21.70 21,70
29/05/1997 29.5.1997
7,760 7760
complicated complex
crazier madder
grandma grandmother
hamed hamid
eom moe
neglect negligence
hemorrhoids haemorrhoids
onc cno
reprisal retaliation
85kb 85k
5.4.3.2. 5.4.3.2
4,200 4200
anti-glare antiglare
tombstones headstones
7,93 7.93
7,91 7.91
7,94 7.94
herds flocks
7,98 7.98
7,99 7.99
2,720 2720
electron-opaque electron-dense
gisbourne gisborne
beauséjour beausejour
guofu kuo-fu
'neill neill
cádiz cadiz
saadeddin saaduddin
proactive disclosure
illness disease
39,40 39.40
shibalba xibalba
4760 4,760
4766 4911
burundi burundian
diplomatist -diplomatist
provincial-like provincial-type province-like
47,70 47.70
3.1.1.1. 3.1.1.1
cigarettes cigarette
55,45 55.45
metaluns metalun
1994/1138 24108
marzuk marzouq marzouk
6.2.2.1.1 6.2.2.1.1.
evaluator appraiser assessor
300.00 300,00
2.764 2764
st-jean-baptiste saint-jean-baptiste
farahat farhat
elat eilat
64/96 64/97
tonho tonio
fecal faecal
inconsistent incompatible
104.6 104,6
104.7 104,7
104.4 104,4
qol qv
104.1 104,1
8,760 8760
17,28 17.28
ntms mnt
12,48 12.48
12,44 12.44
2.499 2,499
✓ ✗
9,500 9500
socio-medical sociomedical
14:10 18:45
14:12 12:41
48.47 48,47
pimp mac
5,69 5.69
5,68 5.68
bee-keepers beekeepers
5,61 5.61
5,60 5.60
basle basel
5,62 5.62
5,65 5.65
5,64 5.64
5,67 5.67
5,66 5.66
12,33 12.33
marnie marnier
4.1.15. 4.1.15
2.3.2.2. 2.3.2.2
comorbidity co-morbidity
4.4.3. 4.4.3
1,536 1.536
vaccines vaccine
nightdresses nightshirts
styria steiermark
underutilization under-utilization
brasília brasilia
13,27 13.27
13,22 13.22
13,21 13.21
13,29 13.29
pedone pédone
micro-businesses micro-enterprises
donoghue 'donoghue
multi-protocol multiprotocol
agri-environment agri-environmental
bader badr
ghulam gholam
glbts bglts
west western
incubation hatching
assemble-to-order ato
sub-interface subinterface
fahmy fahmi
paedophilia pedophilia
photos pictures photographs
5,327 5327
5,329 5329
5,328 5328
former ex
en.pdf en.pdf.
non-random nonrandom
834.5 834,5
newspaper journal
3.4.3. 3.4.3
pahs pah pdt
24.25 24,25
al-beltagui al-beltagi
german-language german-speaking
serological serologic
19,87 19.87
paho ops
technology technologies technological
19,80 19.80
'keefe keefe
0translation 0mission
filka faylakah
7775 959-5525
china-tajikistan sino-tajik
wires cables
defu telford
7.6.7. 7.6.7
walesa wałęsa
60,000 60.000
liberians liberian
1,715 1.715
ngos ngo
pre-production preproduction
chabot sculpin
26.60 26,60
1991-94 1991-1994
26.67 26,67
gangnam kangnam
bioenergy bio-energy
lithologic lithological
zion sion
1984-89 1984-1989
serovar serotype
traffic trafficking
insein ansen
world global
1984-85 1984-1985
1984-86 1984-1986
1984-87 1984-1987
2553 2,553
37.40 37,40
ezz izz
qais qays
tvq qst
tvr rvc
tvi itv
surtax surcharge
diving dive
tva vat
8,4 8.4
refundable repayable
kapéan kaplan
francois françois
1.020 1,020
1.025 1,025
1.026 1,026
1.027 1,027
disinformation misinformation
chung-pin joung-binn
thailand thai
91k 91kb
disabilities disability
ushbayjah ashbajah
21,71 21.71
21,70 21.70
bjd doa
monistic one-tier
screentips screentip
franco-ontarien franco-ontarian
pivot pivottable
sealer sealant
multi-national multinational
redirection redirect
detachments secondments
no-flight no-fly
monie muni
non-urgent non-emergency
3,054 3054
cgpa acmg
putters putter
rags cloths
31.4 31,4
31.5 31,5
31.2 31,2
31.0 31,0
31.1 31,1
pulp pasta
31.8 31,8
31.9 31,9
bachelot-narquin bachelot
román-morey roman-morey
birdwatchers birders
eyebail eyeball
11.2.1. 11.2.1
1446 1,446
1440 1,440
10.3.2 10.3.2.
refunded reimbursed
midget nain dwarf
brotherhood fraternity
spermatozoa sperm
rq qr
natalia natalya
al-mathna al-muthanna muthanna
rrsp rrsps
5.4.3 5.4.3.
kubba kubbah kuba kabba
postcensal post-censal
snds sndss
ssds ssd
kismaayo kismayo
scn sna
sce cpe
landlocked land-locked
scc ncc
sct tbs
scr vcc
5.2.1.6. 5.2.1.6
mamduh mamdouh
tamils tamil
1,053 1053
46,3 46.3
1,050 1050 1.050
46,6 46.6
1,056 1056
46,4 46.4
46,8 46.8
46,9 46.9
antimalarial anti-malarial
batou togusa
moines monks
electrotechnical electro-technical
sand sable
shihab shehab shahab
communitarisation communitisation communitization
llsa ilsa
izetbegovi izetbegovic
healed cured
past last
hemispherical hemispheric
investment investments
6,14 6.14
deleg delek
9.4.2. 9.4.2
6,12 6.12
jibalia jabalia
delek deleg
nightshirts nightdresses nightgowns
mikhalevich michalevic
full fully
hash hashing
sylvestre scots
r.g.d.i.p. rgdip
civilians civilian
experience experiences
prior before
skepticism scepticism
efrat afrat
traumatized traumatised
full-sized full-size
6.800 6,800
3452 3,452
3450 3,450
49.5 49,5
automate automating
ceyhan jihan jihaan
beatrix beatriz
76,9 76.9
76,8 76.8
testes testicles
76,2 76.2
comorbidities co-morbidities
76,0 76.0
one-sided unilateral
76,4 76.4
noman nouman
leary 'leary
centrifugal centrifuge
politkovskaja politkovskaya
bogs peatlands
2001-01-25 25/01/2001
resync resynchronization re-synchronization resynchronize
huge enormous
19.17 19,17
dismissed rejected
non-graduate non-degree
re-inspection reinspection
4.2.2.1. 4.2.2.1
1957-59 1957-1959
1957-58 1957-1958
18,90 18.90
gdansk gdańsk
8.3.2.2. 8.3.2.2
422/1990 424/1990
rosebud rosabelle
immunosuppressed immunocompromised
4,016 4016
4,017 4017
prabakaran prabhakaran
6.1.1.3. 6.1.1.3
4,019 4019
paper document
replies responses answers
109,3 109.3
papillon butterfly
109,5 109.5
109,4 109.4
bangla bengali
chairperson-rapporteur chairman-rapporteur
sauce gravy
hussan husan
-2.5 -2,5
hussam hossam husam
prestage preconfigure
weeds weed
40/18 4018
indian-administered india-controlled
gomaah jumah jomaah
numeric numerical
gff ffv
16.35 16:35
0324 0183
4040 4,040
india-china indian-chinese
2,910 2910
65-nm 65nm
4048 4,048
4049 4,049
research search
42,15 42.15
triennial three-year
10.73 10,73
10.72 10,72
10.71 10,71
10.70 10,70
10.75 10,75
us-backed u.s.-backed
pairs couples
po-hsiung boxiong poh-hsiung
bee-keeping beekeeping
code-share code-sharing
al-zayyat al-zayat al-zaiaat
porpoise porpoises
euphemism understatement
non-wage non-salary
1.225 1,225
12.31 12,31
12.30 12:30 1230
12.33 12,33
12.35 1235
musab musaab mosaab mussab
267-68 267-268
benedict benedicto benoît
pspa pspas
70,01 70.01
saint st.
5.98 5,98
29.91 29,91
5.92 5,92
5.93 5,93
5.90 5,90
livelihoods livelihood
29.99 29,99 11,81
5.97 5,97
5.94 5,94
5.95 5,95
chapelle chapel
ekeus ekéus
ungrateful ingrate
dikes dykes
emirates uae
organisations organizations
preprinted pre-printed
servitude easement
blond blonde
specifying- specify-
birri berri
cross-sectoral intersectoral cross-cutting
glossaries lexicons
tallgrass tall-grass
recognizing acknowledging
baluchistan balochistan
puyuma peinan
departmental ministerial
virus viruses
dawoud daoud
slovene slovenian
1999/00 1999/2000
nonusers non-users
33.34 33,34
bulletin newsletter
pré tunney
naqurah al-naqurah al-naqoura naqoura
socio-political sociopolitical
almer murr
vécanoï vecanoi
54,65 54.65
huíla huila
léopold leopold
2008-08-02 2008-08-01
2008-08-01 2008-08-02
compass compas
qingyun ching-yun
rafale gust
non-eligible ineligible
civilized civilised
jazin jezzine jazzin
insane crazy
anniversaries birthdays
callahan cailahan
sips sip
analog analogue
5,25 5.25
jumah jomaah gomaah
22,35 22.35
dipole dipolar
jumad jumada
27,78 27.78
guéréda guereda
15th fifteenth
27,74 27.74
1,529 1529
naïve naive
90kb 90k
1,520 1.520
chungcheong chungchong
synchronizing synchronization
korea-u.s. rok-u.s. koram rok-us
tropospheric ground-level
last past
19.98 19,98
19.95 19,95
19.92 19,92
algonquin algonquins
azza izzat
2393 2394 3.2393
1,61 1.61
sadat al-sadat
1,60 1.60
belo bello
32,00 32.00
19.01.2001 19.1.2001
ajleen ajlin eglin
1,68 1.68
chérif sherif
gdańsk gdansk
amphibians amphibian
adaptable adaptive
9,99 9.99
haemolytic hemolytic
1.960 1,960
1.965 1,965
fatehi fathi
budget budgetary
expander magnifier
vod vsd
voc vocs
vol flight
banelings stenches
news.bbc.co news.bbc.co.uk
radicalization radicalisation
2740 2,740
offence crime
wagdi vecdi
kindergartens kindergarten
26,000 26.000
infamous notorious
anti-israeli anti-israel
gisèle gisele
belem belém
103,50 103.50
3048 3,048
hercules hercule
3046 3,046
abstention forbearance
cuffs handcuffs
243,84 243.84
2002/1239 2002/1293
comprehensible understandable
47.00 47,00
sub-total subtotal
chorus choir
23.976 23,976
alexandre alexander
ijp cpj
haniyeh haniya haniyya
ijc cmi
ncoa cafn
shehadah shehada
ptom octs
1,660 1.660
1,78 1.78
1,79 1.79
goulet gully
marmelade marmalade
1,72 1.72
1,73 1.73
1,70 1.70
1,71 1.71
1,76 1.76
1,77 1.77
1,74 1.74
1,75 1.75
17.98 17,98
17.99 17,99
6.2.5.3 6.2.5.3.
6.2.5.4 6.2.5.4.
menya minya
3953 3,953
3951 3,951
1939-1945 1939-45
3954 3,954
calyx chalice
megcs megc
80,00 80.00
gebran gibran gabran jubran jibran
poa.html. poa.html
1gb 1gbit
42.50 42,50
6,700 6700 6.700
terrorists terrorist
megabanks mega-banks
sino-myanmar china-myanmar sino-burmese
inti nrti
10,75 10.75
m-10 d-10
katif gush
10,70 10.70
www.museevirtuel.ca www.virtualmuseum.ca
10,72 10.72
hexa hexa-
spac cpsc
gases gas
considerably significantly
analysers analyzers
peeper voyeur
provenza provence
barman bartender
fader attenuator
31/03/2010 2010/03/31
31/03/2011 2011/03/31
inhumane inhuman
guereda guéréda
waemu uemoa
hieroglyphs hieroglyphics
imran omran
fadel fadil
chai wanchai
chan chen
chao zhao
4450 4,450
grýma grima gríma
granada grenada
nusseirat al-nuseirat
2002-08-26 2002-12-19
paisan paesano
1.htm 1.htm.
katsav katzav
suppression repression
interfaith interreligious
land lands
lana wool
tele-consultations teleconsultations
maradona maradonna
28.33 28,33
1a002 1a2
6.24 6,24
6.25 6,25
6.22 6,22
6.23 6,23
6.20 6.20. 18.20
marawan marwan
tattooing tattoo
dinić dinic
broader wider
de-ionized deionized
2.38 2,38
resources resource
dryland drylands
31,75 31.75
traumatised traumatized
-soda -snapple
1.2.7. 1.2.7
fanono vanunu
7125 7,125
31,79 31.79
theoneste théoneste
3.1.3. 3.1.3
32,2 32.2
32,0 32.0
32,7 32.7
32,6 32.6
co-financing cofinancing
32,4 32.4
32,9 32.9
32,8 32.8
lombardy lombardia
dualistic dualist
dynamics dynamic
multimedia multi-media
chalabi al-jalabi shalabi
2,032 2032
bromine brome
al-qaseem qusim
non-clinical nonclinical
squirming fidgeting
ultra-compact ultra-slim ultra-thin
adms adm
non-written unwritten
'avignon avignon
dunhuang tunhuang
4-2007 42007
ethnoracial ethno-racial
mussel mussels
1.4.3. 1.4.3
4,71 4.71
4,70 4.70
4,73 4.73
4,72 4.72
4,75 4.75
4,74 4.74
4,77 4.77
4,76 4.76
7.50 7,50
4,78 4.78
7.52 7,52
7.53 7,53
7.54 7,54
7.56 7,56
7.57 7,57
tds mdt
sub-basins sub-watersheds
confidence trust
sub-critical subcritical
teleprinter teletypewriter
sino-french china-france
iais caia
pfb ctap
pfd pfds
41.8 41,8
babi babic
41.6 41,6
pfk pkf
41.4 41,4
biosphère biosphere
41.1 41,1
sex-disaggregated gender-disaggregated
rewaka réwaka
customer client
clients customers
larch tamarack
choi cui
megalli majli
nawwaf nawaf
mahgoub mahjoub
b13as b13a
mongbe mongbé
non-mercury mercury-free
process processes
loci locus
locm obo
3.2.2.4. 3.2.2.4
zhuang chuang
register.consilium.europa.eu register.consilium.eu.int
minya menya
jovanovi jovanovic
educational education
sub-units subunits
09.05 09:05 9.05
6.9.5. 6.9.5
9,62 9.62
intelligent smart
al-bashir al-beshir
karaganda qaraghandy
208.4 206.4
expellíarmus expelliarmus
0155 01:55
mjp jmp
4.3.1. 4.3.1
14956 14152 27627
4.5.1. 4.5.1
extra-legal extralegal
volts volt
roll-call nominal
matobo motobo
gonadal gonad
shawqi shawki
inter-provincial interprovincial
thieves robbers
85/611 611/85
subparagraph sub-paragraph
physicians doctors
unitary.ny unitar.ny
snake serpent
6.76 6,76
broad-banded broadbanded
damian damien
five-party five-way
al-qaddumi kaddumi qaddumi
peking beijing
invertebrates invertebrate
quixote quijote
scorch russeting
glasses goggles
homogeneous homogenous
5,286 5286
bigfoot sasquatch
witness witnesses
4.7.1. 4.7.1
feminisation feminization
73.0 73,0
73.1 73,1
73.4 73,4
73.5 73,5
73.6 73,6
73.7 73,7
73.8 73,8
allophones allophone
burka burqa
angélique angelique
234.5 234,5
s.p.a. s.p.a
full-featured full-function
8,43 8.43
majali al-majali
dual-socket two-socket
1345 1.45
93.50 93,50
23.27 23,27
23.25 23,25
23.22 23,22
23.20 23,20
23.21 23,21
opossum possum
sergeant sarge sgt.
zaria zarya
interests interest
72.3 72,3
sub-inventory subinventory
25.68 25,68
incheon inchon
25.66 25,66
1,225 1.225
110.5 110,5
gazettal gazetted
001.001 001.002
001.002 001.001
27.20 27,20
chi-square chi-squared
zambézia zambezia
mountainous mountain
atif atef
32500 32,500
5.8.1 5.8.1.
5.8.2 5.8.2.
'assomption assomption
3624 3,624
15.57 15,57
15.54 15,54
15.55 15,55
15.52 15,52
15.50 15,50
15.51 15,51
romaine roman
1,485 1.485
1,480 1.480
gosen goshen
4.3.1.1. 4.3.1.1
10.5.1. 10.5.1
théoneste theoneste
1939-1940 1939-40
results-based results-oriented
gascogne biscay
terminal terminals
bombings explosions
transaction-based transactional-based
dromedary warty
prohibition ban
21.10.1997 21.10.97
pre-engineered pre-designed
antagonist antagonistic
hanun hanoun
kusljugić kusljugic
arbela arbil
pre-transition pre-interim
'riordan riordan
aei aeis
ohim ohmi
ael eyl
ohih bsi
reykjavik reykjavík
seung-yeop seung-yup
alessandro 'alessandro
agricultural agriculture farm
www.cbsa-asfc.gc.ca www.ccra-adrc.gc.ca
destiny fate
kafar kfar
6.3.7 6.3.7.
membrane membranes
shizam shazam
draftsman draftsperson
959-5525 7775
tshkinvali tskhinvali
1999/102 1999/1102
60.00 60,00
2.9.2 2.9.2.
2.9.3 2.9.3.
2.9.1 2.9.1.
jubayl jbeil jbail
msdss msds
marti martí
0,108 0.108
0,100 0.100
62.00 62,00
1984-1990 1984-90
44,50 44.50
350.000 350,000
genetic genetics
hariri al-hariri
smoke-free smokeless
7,18 7.18
4270 4,270
chlamydia chlamydial
16,44 16.44
7,13 7.13
coherence consistency
7,16 7.16
7,17 7.17
16,500 16.500
sustained-release extended-release
rbt tw
cvr trc
rbj rpg
6.4.2.2. 6.4.2.2
cvi icb
chénier chenier
1932-1933 1932-33
cohort cohorts
subtitling captioning
carbohydrates carbohydrate
ctri citr
complemented supplemented
saami sámi
400th 400e
belicoff belikov
colts foals
macro-region macroregion
audit auditing verification
20/09/2007 18/09/2007
ofi bfi
2.7.1 2.7.1.
pham hpma
1.28 1,28
1.23 1,23
1.22 1,22
1.21 1,21
1.20 1,20
1.26 1,26
1.25 1,25
1.24 1,24
reefs reef
akira aklra
well-financed well-funded
6120 6,120
naqoura naqurah
wed wednesday
al-ahmed al-ahmad
neoliberal neo-liberal
katungye nyirinkindi
air-ground air-to-ground
wet moist humid
humanization humanisation
archeological archaeological
zimbabwe zimbabwean
ppias ppia
emms emm
totonicapan totonicapán
physical-chemical physico-chemical
mozambique mozambican
trialogues trilogues
québec quebec
anti-semitism antisemitism
chelating chelation
belikov belicoff
brokering brokerage
54.30 54,30
eytan eitan itan
musée museum
documentary documentaries
fri friday
swimming swim
ismaili esmaeli
4.2.17. 4.2.17
agbm mpmo ppmo
alpaca alpaga
beiji baiji
muwafaq muwaffaq mowaffaq
0.249 942.0
maori māori mäori
6.1.6.1. 6.1.6.1
84.2 84,2
multi-page multiple-page multipage
84.7 84,7
84.5 84,5
microentrepreneurs micro-entrepreneurs
ghettoes ghettos
non-confessional non-denominational
davlatovs davlatov
sub-category subcategory
al-sadr sadr
auto-negotiation autonegotiation
25,68 25.68
25,66 25.66
methene methylene
7,8 7.8
7,9 7.9
7,0 7.0
deadly lethal fatal
7,5 7.5
7,7 7.7
saviour savior
151.5 151,5
2001-05 2001-2005
2001-03 2001-2003
2001-02 2001-2002
-1,8 -1.8
-1,9 -1.9
-1,6 -1.6
-1,4 -1.4
-1,5 -1.5
-1,2 -1.2
-1,3 -1.3
-1,0 -1.0
-1,1 -1.1
5.2.1.29.1.1 5.2.1.29.1.1.
abdulkhalek abdelkhalek
0835 8.35
bizonal bi-zonal
0830 8.30
al-zubaidi al-zebeidi
2,200 2200
kassem qassem qasim
exhibitions exhibits
porno porn
ifmps ifmp
neighbours neighbouring neighbors
fbl-ger fbl-eng-pr fbl-rsa fbl-fra fbl-ita
fabián fabian
oirsrc irsrc
9,37 9.37
9,34 9.34
9,35 9.35
400.00 400,00
9,31 9.31
9,38 9.38
pre-employment pre-service
cmi ijc
cmh shl
cmf fcm fmc
cmd mdc
cmc mcc
nyum nim
cma dpr
eustace eustache
nfor nto
cmv cvmp
cmr rmc pmf
locked-in immobilized
cabling wiring
95,5 95.5
95,2 95.2
95,0 95.0
95,8 95.8
subcontracts sub-contracts
17/03/2008 2008/03/17
richest wealthiest
44,00 44.00
ngaba kardze
sorceress witch
stresses emphasizes
juarez juárez
stressed emphasized
otters otter
brs sab
brp rpb
archaeological archeological
socioeconomic socio-economic
plot conspiracy
sweater sweatshirt
teleconsultations tele-consultations
20:35 20.35
20:30 20.30
20.01.2006 20.1.2006
separated separate
championships championship
dprk-china dprk-chinese
brugge bruges
eru erus
erv vre
erw reg
tns tn
tna nqs
merida mérida
sdrs sdr dts
erm mce
gloria glory
thériault theriault
enterprise-class business-class
mladi mladic
5,565 5565
1.605 1,605
shakir shaker
92,00 92.00
shakib chakib
droogies droogs
1.1.1. 1.1.1
non-prescription nonprescription over-the-counter
sino-iraqi sino-iranian
al-chaab al-sha'b
vassilev vasilyev
nsfs nsf
5.12.98 5.12.1998
12.0 12,0
12.6 12,6
12.5 12,5
12.9 12,9
12.8 12,8
06/05/2008 2008/05/06
díaz diaz
aegadvc eegadvc
coffee café
safd safad safed
sleepiness drowsiness somnolence
roommate roomie flatmate
6.1.6.1 6.1.6.1.
6.1.6.2 6.1.6.2.
saft lfaa
lifelong life-long
cartography mapping
peacebuilding peace-building
sled sleigh
jezzine jazzin jazin
extrajudicial extra-judicial out-of-court
erevan yerevan
protuberances protrusions
trainers instructors
abéché abeche
amaranth amarante
al-douri aldouri
pgx pharmacogenomics pharmacogenomic
info-structure infostructure
amarante amaranth
2006,2 20062
uíge uige
colorless colourless
rudeina rodaina
lollipop pacifier
renee renée
mashaal meshaal mashal
refugee refugees
saragossa zaragoza
76-77 7677
generalizations generalisations
chinese-funded china-funded chinese-invested
antarctic antarctica
lahya lahiya
self-regulation self-regulatory
tele-medicine telemedicine
yeongnam lingnan
